,Rock,Pop,Alternative,Hip Hop/Rap,R&B/Soul,Country,Heavy Metal,Singer/Songwriter,Electronic,Jazz
i,7.040429329359189,7.4375603127807155,7.162194679152756,6.948112537152956,7.997132938488498,7.7102015783059015,5.985573225372534,7.084702686122431,6.99336929803774,7.523420528602462
the,6.905081918639698,5.437471162778753,6.5739984493008485,7.2538635984452915,4.0741942281670775,5.9836648005784925,9.555610830554128,7.4881322758278195,6.386987653976794,5.98354905865315
you,5.96021435215449,6.465589132437642,6.023664117528852,4.635082277190403,7.729281737317272,5.307292802253737,4.706047921241854,5.222675021544484,6.436706302187156,6.149303041274439
to,3.791690798880279,3.478945987201956,3.757469962750447,3.5597629625967833,3.494681794991238,3.5128364801676497,4.269775448954811,3.663000452799322,3.835073486020696,3.501765025343954
and,3.6392546757061215,3.377072922044818,3.8934795601810124,3.7362433649918745,2.8289356935294245,4.226854415319386,3.5044167269418702,4.927625140586887,3.2340354349917053,3.780661658218682
a,3.120623271220304,3.2168095575886873,3.076257657547325,3.8885009670582273,2.2061677868725185,3.6737728601029933,2.9567033118088126,3.639630165198721,2.967785103921268,3.5113821506154963
it,2.81677274156037,2.7780262366684587,3.0407675184587535,3.1495819713157553,2.8336494310241567,2.4446330227020687,2.0853038688498837,2.3615675620408103,3.086738131415216,2.266812997827661
not,2.5634270701632884,2.577911050142743,2.7197607197037974,2.5048352911370504,2.837808611166567,2.5185131737250184,1.8791135781215738,2.329433416589983,2.4694369711585376,2.3216871832005794
me,2.4143966692837306,2.9569166379585945,2.1921952742486486,2.220217387274379,3.2793749029524637,2.345498722391019,2.0529025374497207,2.182492733301199,2.7119896287829155,2.7001493482983348
in,2.233192209550487,2.0443689523015016,2.214705423220987,2.2193522872626383,1.502850424790932,2.0705265254839462,2.757386030771446,2.4272964959175027,2.142780805813829,2.3001900796524257
my,2.0520478507989126,1.9691228082604855,1.9420393849985813,2.348005017580068,2.136293560480025,2.1971109880646695,2.518958051730853,2.0133502767918436,2.0514750640069512,2.491966871832006
is,2.104836546365203,1.9099354725201023,2.1033621193003396,2.0538710135882496,1.7213460216055545,1.8247299296177841,2.417172051069735,1.950834757460234,2.1135072092039904,2.02072773352643
of,2.162112781896142,1.5335276331058236,1.9012882532383135,1.4531208482923543,1.120760409041503,1.768417882447425,3.830393757998056,2.114426770664447,1.696474622579701,1.7933110065170166
do,1.5645287211572885,1.785656827399397,1.6184883356892807,1.570403692741193,2.2681395709944323,1.4164283731151541,0.963857787610909,1.374172910915385,1.6444326730510987,1.719202570601014
your,1.709993130457795,1.4757572510390256,1.7212933072411094,1.3704420043131416,1.5327965218162862,1.1700043449685422,2.191508232883751,1.440193973387085,1.8028818229551464,1.3373461259956552
that,1.4918666343189828,1.567386921930871,1.5908896856082526,1.943632554949299,1.7535103480401943,2.012175323402126,1.2181591461758245,1.690256050713524,1.4237190478181878,1.8759051412020273
on,1.4049806484855856,1.3846589377747747,1.3707042054305518,1.8158449246436097,1.291841352232648,1.4929751113300151,1.1494290492663881,1.4521712457823934,1.5310555687209297,1.1037065532223027
am,1.3686796555572673,1.4056770839329558,1.3558699310119995,1.6827431085515137,1.386532020141523,1.309137453158259,1.2333779533486284,1.1384251347443146,1.4009506948994241,1.2700262490948588
are,1.4542033524728248,1.332113572379322,1.591536528969527,0.6934394522681069,1.0603136576384729,1.0616154185208597,1.464605636522519,1.2576136015073835,1.4448610898141823,1.2768148081100652
we,1.3976082614008056,1.218284960601308,1.5895959988857047,1.3213784750758506,1.073207116079945,1.0991044972777282,1.5498636853077963,1.2742649314228123,1.531752559116402,0.9226783128167995
