,Rock,Pop,Alternative,Hip Hop/Rap,R&B/Soul,Country,Heavy Metal,Singer/Songwriter,Electronic,Jazz
love,0.8541351178249695,1.3342685227578996,0.6541742527018647,0.43094339156280315,2.136293560480025,1.5212095639502508,0.37932467770493844,0.976001635920132,1.0847493854868013,1.9454878711078927
oh,0.5874069611761682,0.7728301494679487,0.5479625727806589,0.25891207494237817,1.0095716599010671,0.5035144050608688,0.002945575581832999,0.5521230445642172,0.5436525084684333,0.6273759956553222
down,0.6132103159728977,0.5024281567587657,0.5801322492813571,0.5226439928073113,0.45376655353696677,0.62413826097732,0.50909364639347,0.6234024217460526,0.5248337677906798,0.4112735336712527
got,0.5273260131673237,0.5463832405081078,0.5031147663989886,0.8980973979027504,0.6862647234977042,0.6097073185269772,0.004091077196990276,0.4630238230869228,0.5122879406721775,0.6477416727009413
never,0.5296899851129868,0.4964356235142281,0.5475744667638944,0.3258955329942965,0.5255817306625851,0.5003772436586204,0.5748781677210736,0.4858098534975096,0.4442152120477113,0.5272447501810282
feel,0.5000602011499722,0.5273134056511064,0.47348934045263513,0.24692426049397212,0.5813147445708835,0.35198950933227086,0.49992963347221175,0.3219257116982896,0.7604165214603342,0.3580964880521361
let,0.4440861535552035,0.5063247793611251,0.4282965509449519,0.4492340775253196,0.6830760187218562,0.41441902123701413,0.3194313075410008,0.3426668419438237,0.5891892143059602,0.47010771180304123
yeah,0.4009336487165736,0.4562000431580473,0.32876891909024497,0.3800260765860682,0.772775670459839,0.3052458044387697,0,0,0.18028818229551463,0
babi,0.3375271130553556,0.5354313694060219,0,0.256811117771008,1.3782136598567025,0.43151655087926793,0,0,0.4219115193925961,0.5792903692976104
away,0.4195649530340879,0.35350042169131723,0.3987142478893501,0,0.2689603158758679,0.31104955303292925,0.4465819868234586,0.37713801615471126,0.3763748135550692,0.30209087617668356
life,0.3846262490236095,0.31775186130148964,0.3294588853422707,0.27571973231333924,0.3137408220758191,0.30508894636865724,0.6619362904730267,0,0.3689402493366975,0.3597936278059377
here,0.3407525324049468,0.3230654375774343,0.34541435492036493,0.021874671725441972,0.30459062576251633,0.33457826354979225,0.30813993447730764,0.33536362706863565,0.34384859509969284,0.2822909123823316
heart,0.30415103456828163,0.35178826933573504,0.2716742117351185,0,0.3362003948448349,0.511827882776827,0.28768454849235625,0.33215021252355287,0.28367509095724663,0.5244161839246922
caus,0.2674293347682777,0.3266963813659965,0.2872415752964483,0.5679999505657136,0.4484982586899137,0.3598324128378919,0.003600147933351443,0,0.13451914632616363,0.2822909123823316
need,0.310301368359117,0.35223106735873044,0.3006959172109494,0.001359442875592439,0.5063108626694173,0,0.002781932493953388,0,0.34106063351780347,0.0011314265025343952
gonna,0.298160970061898,0.35131595144454,0.25006964346856386,0,0.3966471462478649,0.4032820982590323,0.0037637910212310545,0,0.3317674282448388,0
thing,0.2854796629296544,0.30381848351123486,0.3307094491740673,0,0.3687806392937158,0.32234333408102345,0.002454646318194166,0.2798591940172064,0.17355060847261525,0.28794804489500364
right,0.2768251215692607,0.2848667281270323,0.28331739223805213,0.2728772608461914,0.38444688449679465,0.3239119147821477,0,0,0.29784722899851773,0
tell,0.27784683825764045,0.32147136469465093,0.26900059250851893,0.001853785739444235,0.3924879661054546,0.296775468652699,0,0.30673502475789843,0.10408389905720433,0.2805937726285301
night,0.31500927858988675,0.3129991625213392,0,0.0004943428638517959,0.2928062820256871,0.38383169756509217,0.33677747485623954,0.28920730905744707,0.30946373558972357,0.39317070963070233
